timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
1.480126, 6, CCE52F79, 190.000000, [0 0 -5], [0 0 -5], [0.0222690925002098 0.0222690925002098 0.0222690925002098], 
1.776151, 7, B37B3544, 190.000000, [0 0 0], [0 0 0], [0.0588264092803001 0.0588264092803001 0.0588264092803001], 
1.776151, 7, A50F49E7, 190.000000, [0 0 2], [0 0 2], [0.0644348859786987 0.0644348859786987 0.0644348859786987], 
1.776151, 7, 1B96C00C, 190.000000, [0 0 3], [0 0 3], [0.0366206765174866 0.0366206765174866 0.0366206765174866], 
1.776151, 7, 89A42D1A, 190.000000, [0 0 23], [0 0 23], [0.027551731094718 0.027551731094718 0.027551731094718], 
1.776151, 7, 9531C9E8, 190.000000, [0 0 3], [0 0 3], [0.044495165348053 0.044495165348053 0.044495165348053], 
1.776151, 7, 98E2D7D2, 190.000000, [1 0 23], [0.03125 0 23], [0.0232826620340347 0.0232826620340347 0.0232826620340347], 
1.776151, 7, CCE52F79, 190.000000, [0 -8 -7], [0 -0.25 -7], [0.0191885214298964 0.0191885214298964 0.0191885214298964], 
2.072177, 8, B37B3544, 190.000000, [0 0 -1], [0 0 -1], [0.058205671608448 0.058205671608448 0.058205671608448], 
2.072177, 8, A50F49E7, 190.000000, [0 0 1], [0 0 1], [0.0660039931535721 0.0660039931535721 0.0660039931535721], 
2.072177, 8, 1B96C00C, 190.000000, [0 0 4], [0 0 4], [0.0334571115672588 0.0334571115672588 0.0334571115672588], 
2.072177, 8, 89A42D1A, 190.000000, [0 0 7], [0 0 7], [0.028365982696414 0.028365982696414 0.028365982696414], 
2.072177, 8, 9531C9E8, 190.000000, [0 0 9], [0 0 9], [0.0405854843556881 0.0405854843556881 0.0405854843556881], 
2.072177, 8, 98E2D7D2, 190.000000, [0 0 -1], [0 0 -1], [0.0218600574880838 0.0218600574880838 0.0218600574880838], 
2.072177, 8, CCE52F79, 190.000000, [0 -2 -10], [0 -0.0625 -10], [0.0198761913925409 0.0198761913925409 0.0198761913925409], 
