timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
43.792174, 135, A376C074, 64.000000, [0 0 11], [0 0 11], [0.0332286581397057 0.0332286581397057 0.0332286581397057], 
44.118982, 136, A376C074, 65.000000, [0 0 7], [0 0 7], [0.0300452709197998 0.0300452709197998 0.0300452709197998], 
44.445790, 137, A376C074, 66.000000, [0 0 7], [0 0 7], [0.0309540387243032 0.0309540387243032 0.0309540387243032], 
44.772597, 138, A376C074, 67.000000, [0 0 5], [0 0 5], [0.0296858288347721 0.0296858288347721 0.0296858288347721], 
45.099405, 139, A376C074, 68.000000, [0 0 6], [0 0 6], [0.0291789751499891 0.0291789751499891 0.0291789751499891], 
45.426213, 140, A376C074, 69.000000, [0 0 8], [0 0 8], [0.0325263030827045 0.0325263030827045 0.0325263030827045], 
45.753020, 141, A376C074, 70.000000, [0 0 17], [0 0 17], [0.0341559015214443 0.0341559015214443 0.0341559015214443], 
46.079828, 142, A376C074, 71.000000, [0 1 14], [0 0.03125 14], [0.0288784820586443 0.0288784820586443 0.0288784820586443], 
46.406636, 143, A376C074, 72.000000, [0 0 15], [0 0 15], [0.0274078156799078 0.0274078156799078 0.0274078156799078], 
46.733444, 144, A376C074, 73.000000, [0 0 -4], [0 0 -4], [0.0294434018433094 0.0294434018433094 0.0294434018433094], 
47.060251, 145, A376C074, 74.000000, [0 0 17], [0 0 17], [0.0317595712840557 0.0317595712840557 0.0317595712840557], 
47.387059, 146, A376C074, 75.000000, [0 0 -7], [0 0 -7], [0.026070911437273 0.026070911437273 0.026070911437273], 
47.713867, 147, A376C074, 76.000000, [0 0 -9], [0 0 -9], [0.027939448133111 0.027939448133111 0.027939448133111], 
48.040675, 148, A376C074, 77.000000, [0 0 -4], [0 0 -4], [0.0270629804581404 0.0270629804581404 0.0270629804581404], 
48.367483, 149, A376C074, 78.000000, [0 1 22], [0 0.03125 22], [0.02720114775002 0.02720114775002 0.02720114775002], 
48.694291, 150, A376C074, 79.000000, [0 0 2], [0 0 2], [0.026766449213028 0.026766449213028 0.026766449213028], 
48.694291, 150, 47EFF6A9, 79.000000, [0 0 5], [0 0 5], [0.048218198120594 0.048218198120594 0.048218198120594], 
49.021099, 151, A376C074, 80.000000, [0 0 3], [0 0 3], [0.0268477983772755 0.0268477983772755 0.0268477983772755], 
49.021099, 151, 47EFF6A9, 80.000000, [0 0 7], [0 0 7], [0.0453383103013039 0.0453383103013039 0.0453383103013039], 
49.347907, 152, A376C074, 81.000000, [0 0 2], [0 0 2], [0.0255347359925508 0.0255347359925508 0.0255347359925508], 
49.347907, 152, 47EFF6A9, 81.000000, [0 0 5], [0 0 5], [0.0537641867995262 0.0537641867995262 0.0537641867995262], 
49.674714, 153, A376C074, 82.000000, [0 0 3], [0 0 3], [0.028583562001586 0.028583562001586 0.028583562001586], 
49.674714, 153, 47EFF6A9, 82.000000, [0 0 4], [0 0 4], [0.0501639917492867 0.0501639917492867 0.0501639917492867], 
50.001522, 154, A376C074, 83.000000, [0 0 -4], [0 0 -4], [0.028339184820652 0.028339184820652 0.028339184820652], 
50.001522, 154, 47EFF6A9, 83.000000, [0 0 6], [0 0 6], [0.0520524568855762 0.0520524568855762 0.0520524568855762], 
50.328330, 155, A376C074, 84.000000, [0 0 16], [0 0 16], [0.0258765239268541 0.0258765239268541 0.0258765239268541], 
50.328330, 155, 47EFF6A9, 84.000000, [0 0 4], [0 0 4], [0.0454579740762711 0.0454579740762711 0.0454579740762711], 
50.655138, 156, A376C074, 85.000000, [0 0 2], [0 0 2], [0.0263591688126326 0.0263591688126326 0.0263591688126326], 
50.655138, 156, 47EFF6A9, 85.000000, [0 0 8], [0 0 8], [0.0491235293447971 0.0491235293447971 0.0491235293447971], 
50.981946, 157, A376C074, 86.000000, [0 0 -11], [0 0 -11], [0.0259705260396004 0.0259705260396004 0.0259705260396004], 
50.981946, 157, 47EFF6A9, 86.000000, [0 0 -3], [0 0 -3], [0.0455014631152153 0.0455014631152153 0.0455014631152153], 
51.308754, 158, A376C074, 87.000000, [0 0 16], [0 0 16], [0.0258837882429361 0.0258837882429361 0.0258837882429361], 
51.308754, 158, 47EFF6A9, 87.000000, [0 0 -3], [0 0 -3], [0.045461505651474 0.045461505651474 0.045461505651474], 
51.635562, 159, A376C074, 88.000000, [0 1 33], [0 0.03125 33], [0.0263785775750875 0.0263785775750875 0.0263785775750875], 
51.635562, 159, 47EFF6A9, 88.000000, [0 0 11], [0 0 11], [0.0427663587033749 0.0427663587033749 0.0427663587033749], 
51.635562, 159, 582EB047, 88.000000, [0 0 4], [0 0 4], [0.051916990429163 0.051916990429163 0.051916990429163], 
51.962370, 160, A376C074, 89.000000, [0 0 -1], [0 0 -1], [0.0247736088931561 0.0247736088931561 0.0247736088931561], 
51.962370, 160, 47EFF6A9, 89.000000, [0 0 12], [0 0 12], [0.0453295186161995 0.0453295186161995 0.0453295186161995], 
51.962370, 160, 582EB047, 89.000000, [0 0 4], [0 0 4], [0.0492961294949055 0.0492961294949055 0.0492961294949055], 
52.289178, 161, A376C074, 90.000000, [0 0 0], [0 0 0], [0.0259511526674032 0.0259511526674032 0.0259511526674032], 
52.289178, 161, 47EFF6A9, 90.000000, [0 0 -1], [0 0 -1], [0.0431758798658848 0.0431758798658848 0.0431758798658848], 
52.289178, 161, 582EB047, 90.000000, [0 0 7], [0 0 7], [0.0511220693588257 0.0511220693588257 0.0511220693588257], 
52.615986, 162, A376C074, 91.000000, [0 0 14], [0 0 14], [0.0274264961481094 0.0274264961481094 0.0274264961481094], 
52.615986, 162, 47EFF6A9, 91.000000, [0 0 5], [0 0 5], [0.0484013184905052 0.0484013184905052 0.0484013184905052], 
52.615986, 162, 582EB047, 91.000000, [0 0 5], [0 0 5], [0.0574570745229721 0.0574570745229721 0.0574570745229721], 
52.942794, 163, A376C074, 92.000000, [0 0 33], [0 0 33], [0.0251848921179771 0.0251848921179771 0.0251848921179771], 
52.942794, 163, 47EFF6A9, 92.000000, [0 0 15], [0 0 15], [0.0479878149926662 0.0479878149926662 0.0479878149926662], 
52.942794, 163, 582EB047, 92.000000, [0 0 10], [0 0 10], [0.0578373149037361 0.0578373149037361 0.0578373149037361], 
53.269602, 164, A376C074, 93.000000, [0 0 10], [0 0 10], [0.0268957354128361 0.0268957354128361 0.0268957354128361], 
53.269602, 164, 47EFF6A9, 93.000000, [0 0 3], [0 0 3], [0.0499250702559948 0.0499250702559948 0.0499250702559948], 
53.269602, 164, 582EB047, 93.000000, [0 0 11], [0 0 11], [0.0503396913409233 0.0503396913409233 0.0503396913409233], 
53.596410, 165, A376C074, 94.000000, [0 0 15], [0 0 15], [0.0267805699259043 0.0267805699259043 0.0267805699259043], 
53.596410, 165, 47EFF6A9, 94.000000, [0 0 4], [0 0 4], [0.0470893830060959 0.0470893830060959 0.0470893830060959], 
53.596410, 165, 582EB047, 94.000000, [0 0 8], [0 0 8], [0.0556548722088337 0.0556548722088337 0.0556548722088337], 
53.923219, 166, A376C074, 95.000000, [0 0 11], [0 0 11], [0.0284628346562386 0.0284628346562386 0.0284628346562386], 
53.923219, 166, 47EFF6A9, 95.000000, [0 0 3], [0 0 3], [0.0455308295786381 0.0455308295786381 0.0455308295786381], 
53.923219, 166, 582EB047, 95.000000, [0 0 9], [0 0 9], [0.0464416705071926 0.0464416705071926 0.0464416705071926], 
53.923219, 166, 2718BC92, 95.000000, [0 0 2], [0 0 2], [0.0453941784799099 0.0453941784799099 0.0453941784799099], 
54.250027, 167, A376C074, 96.000000, [0 0 -3], [0 0 -3], [0.0240565706044436 0.0240565706044436 0.0240565706044436], 
54.250027, 167, 47EFF6A9, 96.000000, [0 0 6], [0 0 6], [0.0415348559617996 0.0415348559617996 0.0415348559617996], 
54.250027, 167, 582EB047, 96.000000, [0 0 13], [0 0 13], [0.0460331402719021 0.0460331402719021 0.0460331402719021], 
54.250027, 167, 2718BC92, 96.000000, [0 0 2], [0 0 2], [0.0419782549142838 0.0419782549142838 0.0419782549142838], 
54.576835, 168, A376C074, 97.000000, [0 0 13], [0 0 13], [0.0236960332840681 0.0236960332840681 0.0236960332840681], 
54.576835, 168, 47EFF6A9, 97.000000, [0 0 3], [0 0 3], [0.0421872213482857 0.0421872213482857 0.0421872213482857], 
54.576835, 168, 582EB047, 97.000000, [0 0 6], [0 0 6], [0.0433530136942863 0.0433530136942863 0.0433530136942863], 
54.576835, 168, 2718BC92, 97.000000, [0 0 5], [0 0 5], [0.0400766506791115 0.0400766506791115 0.0400766506791115], 
54.903643, 169, A376C074, 98.000000, [0 0 8], [0 0 8], [0.0238450225442648 0.0238450225442648 0.0238450225442648], 
54.903643, 169, 47EFF6A9, 98.000000, [0 0 -3], [0 0 -3], [0.0435363873839378 0.0435363873839378 0.0435363873839378], 
54.903643, 169, 582EB047, 98.000000, [0 0 -5], [0 0 -5], [0.0444854348897934 0.0444854348897934 0.0444854348897934], 
54.903643, 169, 2718BC92, 98.000000, [0 0 10], [0 0 10], [0.0409326925873756 0.0409326925873756 0.0409326925873756], 
55.230451, 170, A376C074, 99.000000, [0 1 9], [0 0.03125 9], [0.0246617924422026 0.0246617924422026 0.0246617924422026], 
55.230451, 170, 47EFF6A9, 99.000000, [0 0 4], [0 0 4], [0.0399089977145195 0.0399089977145195 0.0399089977145195], 
55.230451, 170, 582EB047, 99.000000, [0 0 7], [0 0 7], [0.0408272966742516 0.0408272966742516 0.0408272966742516], 
55.230451, 170, 2718BC92, 99.000000, [0 0 5], [0 0 5], [0.0412606820464134 0.0412606820464134 0.0412606820464134], 
55.557260, 171, A376C074, 100.000000, [0 0 -9], [0 0 -9], [0.0280858390033245 0.0280858390033245 0.0280858390033245], 
55.557260, 171, 47EFF6A9, 100.000000, [0 0 10], [0 0 10], [0.0406396500766277 0.0406396500766277 0.0406396500766277], 
55.557260, 171, 582EB047, 100.000000, [0 0 -4], [0 0 -4], [0.0425665266811848 0.0425665266811848 0.0425665266811848], 
55.557260, 171, 2718BC92, 100.000000, [0 0 6], [0 0 6], [0.0427380427718163 0.0427380427718163 0.0427380427718163], 
55.884068, 172, A376C074, 101.000000, [0 1 43], [0 0.03125 43], [0.0231883488595486 0.0231883488595486 0.0231883488595486], 
55.884068, 172, 47EFF6A9, 101.000000, [0 0 5], [0 0 5], [0.0368533059954643 0.0368533059954643 0.0368533059954643], 
55.884068, 172, 582EB047, 101.000000, [0 0 -1], [0 0 -1], [0.0433097183704376 0.0433097183704376 0.0433097183704376], 
55.884068, 172, 2718BC92, 101.000000, [0 0 7], [0 0 7], [0.0386309027671814 0.0386309027671814 0.0386309027671814], 
56.210876, 173, A376C074, 102.000000, [0 0 11], [0 0 11], [0.0234928820282221 0.0234928820282221 0.0234928820282221], 
56.210876, 173, 47EFF6A9, 102.000000, [0 0 15], [0 0 15], [0.037553746253252 0.037553746253252 0.037553746253252], 
56.210876, 173, 582EB047, 102.000000, [0 0 4], [0 0 4], [0.0431189388036728 0.0431189388036728 0.0431189388036728], 
56.210876, 173, 2718BC92, 102.000000, [0 0 9], [0 0 9], [0.0384509973227978 0.0384509973227978 0.0384509973227978], 
56.210876, 173, ADD40AC0, 102.000000, [0 0 9], [0 0 9], [0.0443306602537632 0.0443306602537632 0.0443306602537632], 
56.537684, 174, A376C074, 103.000000, [0 0 -2], [0 0 -2], [0.024502120912075 0.024502120912075 0.024502120912075], 
56.537684, 174, 47EFF6A9, 103.000000, [0 0 -4], [0 0 -4], [0.0403386764228344 0.0403386764228344 0.0403386764228344], 
56.537684, 174, 582EB047, 103.000000, [0 0 11], [0 0 11], [0.043556947261095 0.043556947261095 0.043556947261095], 
56.537684, 174, 2718BC92, 103.000000, [0 0 10], [0 0 10], [0.0372222103178501 0.0372222103178501 0.0372222103178501], 
56.537684, 174, ADD40AC0, 103.000000, [0 0 8], [0 0 8], [0.0423290021717548 0.0423290021717548 0.0423290021717548], 
56.864492, 175, A376C074, 104.000000, [0 0 0], [0 0 0], [0.0247657019644976 0.0247657019644976 0.0247657019644976], 
56.864492, 175, 47EFF6A9, 104.000000, [0 0 12], [0 0 12], [0.0404169671237469 0.0404169671237469 0.0404169671237469], 
56.864492, 175, 582EB047, 104.000000, [0 0 8], [0 0 8], [0.04481340944767 0.04481340944767 0.04481340944767], 
56.864492, 175, 2718BC92, 104.000000, [0 0 13], [0 0 13], [0.0371369607746601 0.0371369607746601 0.0371369607746601], 
56.864492, 175, ADD40AC0, 104.000000, [0 0 12], [0 0 12], [0.0390577167272568 0.0390577167272568 0.0390577167272568], 
57.191301, 176, A376C074, 105.000000, [0 1 16], [0 0.03125 16], [0.0234718360006809 0.0234718360006809 0.0234718360006809], 
57.191301, 176, 47EFF6A9, 105.000000, [0 0 -1], [0 0 -1], [0.0399922803044319 0.0399922803044319 0.0399922803044319], 
57.191301, 176, 582EB047, 105.000000, [0 0 2], [0 0 2], [0.0416897796094418 0.0416897796094418 0.0416897796094418], 
57.191301, 176, 2718BC92, 105.000000, [0 0 11], [0 0 11], [0.0391762144863605 0.0391762144863605 0.0391762144863605], 
57.191301, 176, ADD40AC0, 105.000000, [0 0 13], [0 0 13], [0.0404010079801083 0.0404010079801083 0.0404010079801083], 
57.518109, 177, A376C074, 106.000000, [0 0 23], [0 0 23], [0.0239523407071829 0.0239523407071829 0.0239523407071829], 
57.518109, 177, 47EFF6A9, 106.000000, [0 0 11], [0 0 11], [0.0380376540124416 0.0380376540124416 0.0380376540124416], 
57.518109, 177, 582EB047, 106.000000, [0 0 8], [0 0 8], [0.0408895723521709 0.0408895723521709 0.0408895723521709], 
57.518109, 177, 2718BC92, 106.000000, [0 0 14], [0 0 14], [0.0358987413346767 0.0358987413346767 0.0358987413346767], 
57.518109, 177, ADD40AC0, 106.000000, [0 0 14], [0 0 14], [0.0369972325861454 0.0369972325861454 0.0369972325861454], 
57.844917, 178, A376C074, 107.000000, [0 0 15], [0 0 15], [0.0232776012271643 0.0232776012271643 0.0232776012271643], 
57.844917, 178, 47EFF6A9, 107.000000, [0 0 -2], [0 0 -2], [0.0415980964899063 0.0415980964899063 0.0415980964899063], 
57.844917, 178, 582EB047, 107.000000, [0 0 -2], [0 0 -2], [0.0473547652363777 0.0473547652363777 0.0473547652363777], 
57.844917, 178, 2718BC92, 107.000000, [0 1 17], [0 0.03125 17], [0.0352909341454506 0.0352909341454506 0.0352909341454506], 
57.844917, 178, ADD40AC0, 107.000000, [0 0 14], [0 0 14], [0.0372637137770653 0.0372637137770653 0.0372637137770653], 
58.171725, 179, A376C074, 108.000000, [0 0 3], [0 0 3], [0.0243859700858593 0.0243859700858593 0.0243859700858593], 
58.171725, 179, 47EFF6A9, 108.000000, [0 0 7], [0 0 7], [0.0411453023552895 0.0411453023552895 0.0411453023552895], 
58.171725, 179, 582EB047, 108.000000, [0 0 0], [0 0 0], [0.0418501645326614 0.0418501645326614 0.0418501645326614], 
58.171725, 179, 2718BC92, 108.000000, [0 0 11], [0 0 11], [0.039553914219141 0.039553914219141 0.039553914219141], 
58.171725, 179, ADD40AC0, 108.000000, [0 0 9], [0 0 9], [0.0421468801796436 0.0421468801796436 0.0421468801796436], 
58.171725, 179, 950E4800, 108.000000, [0 0 7], [0 0 7], [0.0314828976988792 0.0314828976988792 0.0314828976988792], 
58.498534, 180, A376C074, 109.000000, [0 0 15], [0 0 15], [0.0255112648010254 0.0255112648010254 0.0255112648010254], 
58.498534, 180, 47EFF6A9, 109.000000, [0 0 6], [0 0 6], [0.0436389707028866 0.0436389707028866 0.0436389707028866], 
58.498534, 180, 582EB047, 109.000000, [0 0 1], [0 0 1], [0.0440718084573746 0.0440718084573746 0.0440718084573746], 
58.498534, 180, 2718BC92, 109.000000, [0 0 17], [0 0 17], [0.0366403609514236 0.0366403609514236 0.0366403609514236], 
58.498534, 180, ADD40AC0, 109.000000, [0 0 9], [0 0 9], [0.0390161909162998 0.0390161909162998 0.0390161909162998], 
58.498534, 180, 950E4800, 109.000000, [0 0 12], [0 0 12], [0.0297488421201706 0.0297488421201706 0.0297488421201706], 
